gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0,event_id,has_positive,has_future,outside_only
86.0,6,6,6,1,True,56.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2021-08-27 07:42:00,EV2-0118,True,True,False
136.0,8,6,1,0,True,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-30 19:48:00,EV2-0119,False,False,False
84.0,6,6,2,0,True,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-31 00:24:00,EV2-0120,False,False,False
216.0,12,12,5,8,True,36.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,2021-08-31 21:03:00,EV2-0121,True,True,False
411.0,5,5,3,1,True,31.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2021-09-06 07:39:00,EV2-0122,True,True,False
951.0,5,5,5,0,True,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-09-11 00:19:00,EV2-0123,False,False,False
104.0,4,4,3,0,True,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-09-18 21:34:00,EV2-0124,False,False,False
110.0,6,6,6,1,True,33.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2021-09-19 21:12:00,EV2-0125,True,True,False
238.0,5,5,5,0,True,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-09-20 23:09:00,EV2-0126,False,False,False
125.0,4,4,3,1,True,23.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2021-09-23 06:35:00,EV2-0127,True,True,False
430.0,6,4,1,0,True,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-09-25 17:34:00,EV2-0128,False,False,False
286.0,17,7,2,0,True,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-09-26 15:40:00,EV2-0129,False,False,False
65.0,6,6,3,0,True,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-09-27 21:05:00,EV2-0130,False,False,False
137.0,5,5,3,9,True,21.0,5.0,5.0,0.0,0.0,4.0,5.0,5.0,5.0,2021-09-28 20:56:00,EV2-0131,True,True,False
158.0,10,8,6,10,True,33.0,5.0,6.0,1.0,1.0,4.0,5.0,5.0,5.0,2021-10-03 20:30:00,EV2-0132,True,True,False
60.0,4,4,3,6,True,31.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,2021-10-04 23:08:00,EV2-0133,True,True,False
232.0,4,4,3,7,True,31.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,2021-10-05 21:45:00,EV2-0134,True,True,False
292.0,7,6,4,1,True,34.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2021-10-06 06:45:00,EV2-0135,True,True,False
1440.0,7,7,3,2,True,21.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2021-10-13 20:12:00,EV2-0136,True,True,False
642.0,4,4,4,2,True,33.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2021-11-29 20:12:00,EV2-0137,True,True,False
106.0,5,5,4,0,True,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-05 22:42:00,EV2-0138,False,False,False
1108.0,4,4,4,2,True,31.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2022-06-01 23:08:00,EV2-0139,True,True,False
1320.0,10,10,8,7,True,41.0,5.0,6.0,1.0,1.0,4.0,5.0,6.0,6.0,2022-06-25 21:21:00,EV2-0140,True,True,False
74.0,4,4,4,1,True,32.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2022-06-27 23:03:00,EV2-0141,True,True,False
302.0,6,5,3,2,True,23.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2022-07-03 04:16:00,EV2-0142,True,True,False
808.0,5,5,3,0,True,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-03 20:05:00,EV2-0143,False,False,False
96.0,11,11,7,6,True,37.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,2022-07-03 22:48:00,EV2-0144,True,True,False
260.0,4,4,4,5,True,26.0,5.0,5.0,0.0,0.0,2.0,5.0,5.0,5.0,2022-07-06 19:16:00,EV2-0145,True,True,False
1096.0,5,4,3,4,True,21.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,2022-07-07 20:31:00,EV2-0146,True,True,False
439.0,5,4,3,1,True,31.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2022-07-13 17:34:00,EV2-0147,True,True,False
85.0,7,7,3,6,True,23.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,2022-07-16 23:54:00,EV2-0148,True,True,False
1440.0,4,4,3,10,True,31.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,2022-07-20 00:15:00,EV2-0149,True,True,False
899.0,6,6,4,0,True,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-26 22:31:00,EV2-0150,False,False,False
88.0,5,5,4,3,True,32.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,2022-07-29 22:18:00,EV2-0151,True,True,False
115.0,5,4,3,3,True,34.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2022-08-01 20:44:00,EV2-0152,True,True,False
60.0,4,4,4,4,True,39.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,2022-08-03 04:07:00,EV2-0153,True,True,False
1440.0,4,4,2,1,True,18.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2022-08-04 23:38:00,EV2-0154,True,True,False
84.0,5,5,4,2,True,33.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2022-08-05 01:52:00,EV2-0155,True,True,False
1234.0,6,4,4,0,True,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-08-07 04:27:00,EV2-0156,False,False,False
1440.0,6,4,4,0,True,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-08-11 01:54:00,EV2-0157,False,False,False
1060.0,8,8,5,10,True,29.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,2022-08-14 22:26:00,EV2-0158,True,True,False
151.0,13,11,7,6,True,47.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2022-08-18 23:20:00,EV2-0159,True,True,False
154.0,5,5,5,2,True,35.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2022-08-23 03:52:00,EV2-0160,True,True,False
710.0,5,4,2,0,True,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-08-26 20:37:00,EV2-0161,False,False,False
79.0,8,8,5,0,True,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-08-27 01:22:00,EV2-0162,False,False,False
643.0,5,4,4,0,True,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-08-28 01:19:00,EV2-0163,False,False,False
249.0,10,6,1,1,True,13.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2022-09-02 21:18:00,EV2-0164,False,True,True
69.0,5,4,1,0,True,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-09-10 10:16:00,EV2-0165,False,False,False
180.0,4,4,2,2,True,22.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2022-09-15 23:25:00,EV2-0166,True,True,False
279.0,4,4,3,0,True,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-09-16 16:14:00,EV2-0167,False,False,False
570.0,7,6,1,0,True,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-09-18 16:38:00,EV2-0168,False,False,False
362.0,4,4,2,1,True,18.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2022-09-21 21:44:00,EV2-0169,True,True,False
296.0,4,4,4,0,True,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-01 06:37:00,EV2-0170,False,False,False
129.0,4,4,4,0,True,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-02-15 08:38:00,EV2-0171,False,False,False
67.0,5,5,2,0,True,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-06-26 19:34:00,EV2-0172,False,False,False
80.0,4,4,4,0,True,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-07-17 01:24:00,EV2-0173,False,False,False
