grid_x,grid_y,center_latitude,center_longitude,building_count,residential_count,commercial_count,total_floor_area_m2,mean_ground_floors,pages,grid_m,lat0,lon0
-1,9,36.04255424054641,126.97827118285839,360,28,2,29629.5,0.55,1,1000,35.9566125,126.98382
-1,10,36.05160073955129,126.97827118285839,313,53,6,13370.3,0.4185303514376997,1,1000,35.9566125,126.98382
-1,11,36.06064723855618,126.97827118285839,274,11,8,16407.0,0.46715328467153283,1,1000,35.9566125,126.98382
-1,12,36.06969373756106,126.97827118285839,215,30,3,7600.7,0.5069767441860465,1,1000,35.9566125,126.98382
-1,13,36.07874023656595,126.97827118285839,429,80,3,22669.1,0.4592074592074592,1,1000,35.9566125,126.98382
-1,14,36.08778673557083,126.97827118285839,340,74,5,8967.3,0.45294117647058824,1,1000,35.9566125,126.98382
-1,15,36.09683323457572,126.97827118285839,38,1,1,604.2,0.8947368421052632,1,1000,35.9566125,126.98382
-1,16,36.1058797335806,126.97827118285839,18,0,0,8338.6,0.7777777777777778,1,1000,35.9566125,126.98382
-1,17,36.11492623258549,126.97827118285839,40,8,1,3553.7,0.6,1,1000,35.9566125,126.98382
-1,18,36.12397273159037,126.97827118285839,159,50,6,8228.2,0.5157232704402516,1,1000,35.9566125,126.98382
-1,19,36.13301923059526,126.97827118285839,34,3,0,240.3,0.4117647058823529,1,1000,35.9566125,126.98382
-1,20,36.14206572960014,126.97827118285839,58,13,1,1453.6,0.5517241379310345,1,1000,35.9566125,126.98382
-1,21,36.15111222860503,126.97827118285839,41,0,1,339.4,0.9512195121951219,1,1000,35.9566125,126.98382
-1,22,36.16015872760991,126.97827118285839,929,143,21,21514.5,0.3369214208826695,1,1000,35.9566125,126.98382
0,-9,35.87971725845848,126.9893688171416,452,127,16,36614.9,0.6128318584070797,1,1000,35.9566125,126.98382
0,-8,35.88876375746336,126.9893688171416,234,82,5,7133.3,0.5085470085470085,1,1000,35.9566125,126.98382
0,-7,35.89781025646825,126.9893688171416,41,7,1,1038.2,0.43902439024390244,1,1000,35.9566125,126.98382
0,-6,35.90685675547313,126.9893688171416,14,0,2,2060.4,0.7857142857142857,1,1000,35.9566125,126.98382
0,-5,35.91590325447802,126.9893688171416,223,26,6,10504.3,0.6547085201793722,1,1000,35.9566125,126.98382
0,-4,35.9249497534829,126.9893688171416,18,0,0,452.1,0.7777777777777778,1,1000,35.9566125,126.98382
0,-3,35.93399625248779,126.9893688171416,51,0,2,3758.2,0.9411764705882353,1,1000,35.9566125,126.98382
0,-2,35.94304275149267,126.9893688171416,333,32,21,77582.4,0.7837837837837838,1,1000,35.9566125,126.98382
0,-1,35.95208925049756,126.9893688171416,757,172,99,410783.8,2.0409511228533685,1,1000,35.9566125,126.98382
0,0,35.96113574950244,126.9893688171416,709,218,221,992541.5,4.119887165021156,1,1000,35.9566125,126.98382
0,1,35.97018224850733,126.9893688171416,435,101,17,26243.1,1.0873563218390805,1,1000,35.9566125,126.98382
