순번,업체명,소재지(원문),정제주소,lat,lon,geocode_method,n_parcels,사육업종,사육두수,시설면적,영업상태,신고일자
118,황O선 농장,전북특별자치도 익산시 성당면 대선리 112번지 2호  ,전북특별자치도 익산시 성당면 대선리 112-2,36.0709512952211,126.940162756423,지번정확,1,육계,3000,2155.69,정상,2005-08-10
119,진성농장,전북특별자치도 익산시 성당면 장선리 91번지 12호  ,전북특별자치도 익산시 성당면 장선리 91-12,36.0814288041287,126.942725237514,지번정확,1,육계,70000,4670.1,정상,2005-08-10
120,김O묵 농장,전북특별자치도 익산시 성당면 대선리 327번지 1호 외2 ,전북특별자치도 익산시 성당면 대선리 327-1 외2,36.0615264102109,126.936695951251,지번정확,1,돼지,650,879,정상,2005-08-10
121,대성 농장,"전북특별자치도 익산시 성당면 대선리 606번지 1호 ,608,606-34,614-1 ",전북특별자치도 익산시 성당면 대선리 606-1,36.0624754238074,126.932607727038,첫필지,4,돼지,3500,3142.66,정상,2005-08-10
122,금오농장,전북특별자치도 익산시 왕궁면 온수리 230번지 16호  ,전북특별자치도 익산시 왕궁면 온수리 230-16,35.9316977661356,127.066816576635,지번정확,1,돼지,120,881.1,정상,2005-08-22
123,금오농장,전북특별자치도 익산시 왕궁면 온수리 227번지 60호  ,전북특별자치도 익산시 왕궁면 온수리 227-60,35.9327342080812,127.0690262201,지번정확,1,돼지,30,62.7,정상,2005-08-22
124,소박농장,전북특별자치도 익산시 왕궁면 구덕리 760번지 6호  ,전북특별자치도 익산시 왕궁면 구덕리 760-6,35.9486649108506,127.070916110842,지번정확,1,한우,150,902,정상,2005-08-23
125,모질메농장,전북특별자치도 익산시 금마면 동고도리 1073번지 17호  ,전북특별자치도 익산시 금마면 동고도리 1073-17,35.9778820618249,127.055389211762,지번정확,1,한우,41,426,정상,2005-08-23
126,솔우농원,"전북특별자치도 익산시 왕궁면 구덕리 697번지 2호 ,-3,-5 ",전북특별자치도 익산시 왕궁면 구덕리 697-2,35.9465636636989,127.068909234509,지번정확,1,한우,130,2100,정상,2005-08-23
127,왕궁한우축산,"전북특별자치도 익산시 왕궁면 발산리 90번지 8호 ,90-72 ",전북특별자치도 익산시 왕궁면 발산리 90-8,35.9578086383617,127.062289595249,첫필지,2,한우,8,646.4,정상,2005-09-06
128,게바 1농장,전북특별자치도 익산시 영등동 502번지 4호  ,전북특별자치도 익산시 영등동 502-4,35.9671658382589,126.971919838882,지번정확,1,한우,86,1921,정상,2005-09-06
