datetime,latitude,longitude,region,intensity,odor_type,grid_id,st_cluster
2020-05-23 12:00:00,35.933903,126.96988,동산동,3,하수구 냄새,-3:-6,-1
2020-05-23 15:29:00,35.961746,127.01312,팔봉동,3,"공장 냄새(화학약품, 매캐함)",5:1,-1
2020-05-23 20:35:00,35.96432,127.01481,팔봉동,3,"공장 냄새(화학약품, 매캐함)",5:1,-1
2020-05-23 23:23:00,35.95762,126.99871,부송동,5,"가축 분뇨 냄새(닭, 돼지, 소)",2:0,2
2020-05-23 23:24:00,35.95769,126.99809,부송동,5,"가축 분뇨 냄새(닭, 돼지, 소)",2:0,2
2020-05-23 23:27:00,35.93651,126.96916,마동,2,기타,-3:-5,-1
2020-05-23 23:28:00,35.94849,126.964,영등동,4,"가축 분뇨 냄새(닭, 돼지, 소)",-4:-2,-1
2020-05-23 23:29:00,35.95787,126.999535,부송동,4,"공장 냄새(화학약품, 매캐함)",2:0,2
2020-05-23 23:33:00,35.934235,126.97009,마동,4,"가축 분뇨 냄새(닭, 돼지, 소)",-3:-5,-1
2020-05-23 23:39:00,35.961044,126.99406,부송동,4,"가축 분뇨 냄새(닭, 돼지, 소)",1:0,2
2020-05-23 23:41:00,35.961437,126.99459,부송동,2,"가축 분뇨 냄새(닭, 돼지, 소)",1:1,2
2020-05-23 23:45:00,35.961437,126.99459,부송동,4,"가축 분뇨 냄새(닭, 돼지, 소)",1:1,2
2020-05-24 00:19:00,35.963516,126.98764,부송동,4,"가축 분뇨 냄새(닭, 돼지, 소)",0:1,2
2020-05-26 00:41:00,35.965153,127.01614,팔봉동,3,"공장 냄새(화학약품, 매캐함)",5:1,-1
2020-05-28 07:47:00,35.958607,126.98338,어양동,3,"공장 냄새(화학약품, 매캐함)",-1:0,-1
2020-05-28 18:11:00,35.934032,126.94876,인화동1가,3,"가축 분뇨 냄새(닭, 돼지, 소)",-7:-5,-1
2020-05-28 20:43:00,36.041073,127.006966,삼기면 연동리,4,기타,4:18,-1
2020-05-30 22:22:00,35.997658,126.94504,황등면 황등리,3,"가축 분뇨 냄새(닭, 돼지, 소)",-8:9,-1
2020-05-30 23:50:00,35.95641,126.99501,부송동,3,"가축 분뇨 냄새(닭, 돼지, 소)",1:-1,-1
2020-05-30 23:53:00,35.955925,126.99521,부송동,3,음식조리 냄새,1:-1,-1
2020-05-30 23:57:00,35.953255,126.984215,어양동,3,하수구 냄새,0:-1,-1
