gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t_pred_min,lead_gain_min,t0,event_id,has_positive,has_future,outside_only
12.0,7,7,5,0,True,39,0,0,0,0,0,0,0,0,27227481,27227511,4,2021-10-07 23:21:00,EV2-0167,False,False,False
1440.0,7,7,3,2,True,21,1,2,1,1,1,1,1,1,27235926,27235956,6,2021-10-13 20:06:00,EV2-0168,True,True,False
1317.0,8,8,7,9,True,40,6,7,1,1,5,6,6,7,27603198,27603228,3,2022-06-25 21:18:00,EV2-0169,True,True,False
17.0,7,7,4,4,True,27,4,4,0,0,3,4,4,4,27604732,27604762,11,2022-06-26 22:52:00,EV2-0170,True,True,False
10.0,7,7,4,5,True,26,4,4,0,0,4,4,4,4,27608949,27608979,4,2022-06-29 21:09:00,EV2-0171,True,True,False
5.0,7,7,4,13,True,26,4,5,1,1,3,4,5,5,27610481,27610511,5,2022-06-30 22:41:00,EV2-0172,True,True,False
78.0,7,7,4,8,True,35,7,7,0,0,7,7,7,7,27614790,27614820,18,2022-07-03 22:30:00,EV2-0173,True,True,False
9.0,7,7,4,1,True,24,1,1,0,0,1,1,1,1,27614853,27614883,9,2022-07-03 23:33:00,EV2-0174,True,True,False
5.0,7,7,5,12,True,40,4,4,0,0,4,4,4,4,27616239,27616269,5,2022-07-04 22:39:00,EV2-0175,True,True,False
25.0,9,7,3,16,True,21,4,4,0,0,4,4,4,4,27629114,27629144,5,2022-07-13 21:14:00,EV2-0176,True,True,False
6.0,8,7,5,10,True,27,5,5,0,0,5,5,5,5,27629262,27629292,11,2022-07-13 23:42:00,EV2-0177,True,True,False
84.0,7,7,3,6,True,23,3,4,1,1,3,3,3,3,27633593,27633623,1,2022-07-16 23:53:00,EV2-0178,True,True,False
7.0,7,7,3,3,True,31,2,2,0,0,2,2,2,2,27634972,27635002,15,2022-07-17 22:52:00,EV2-0179,True,True,False
2.0,8,7,5,5,True,37,3,3,0,0,3,3,3,3,27637945,27637975,4,2022-07-20 00:25:00,EV2-0180,True,True,False
17.0,8,8,5,8,True,37,5,5,0,0,5,5,5,5,27642299,27642329,4,2022-07-23 00:59:00,EV2-0181,True,True,False
4.0,7,7,4,8,True,34,4,4,0,0,4,4,4,4,27646591,27646621,1,2022-07-26 00:31:00,EV2-0182,True,True,False
6.0,7,7,3,6,True,21,3,4,1,1,3,3,3,4,27649231,27649261,14,2022-07-27 20:31:00,EV2-0183,True,True,False
4.0,7,7,4,4,True,24,4,4,0,0,4,4,4,4,27656496,27656526,7,2022-08-01 21:36:00,EV2-0184,True,True,False
1056.0,7,7,5,8,True,29,3,5,2,2,3,3,3,4,27675262,27675292,4,2022-08-14 22:22:00,EV2-0185,True,True,False
5.0,11,11,7,3,True,39,3,3,0,0,3,3,3,3,27675328,27675358,3,2022-08-14 23:28:00,EV2-0186,True,True,False
140.0,9,8,5,9,True,44,5,6,1,1,4,5,5,5,27681069,27681099,11,2022-08-18 23:09:00,EV2-0187,True,True,False
74.0,7,7,5,1,True,27,1,1,0,0,1,1,1,1,27692717,27692747,5,2022-08-27 01:17:00,EV2-0188,True,True,False
1.0,10,7,2,0,True,26,0,0,0,0,0,0,0,0,27702559,27702589,0,2022-09-02 21:19:00,EV2-0189,False,False,False
8.0,8,8,7,8,True,44,6,7,1,1,6,6,6,6,27708394,27708424,0,2022-09-06 22:34:00,EV2-0190,True,True,False
2.0,7,7,5,2,True,32,2,2,0,0,2,2,2,2,27745717,27745747,8,2022-10-02 20:37:00,EV2-0191,True,True,False
12.0,8,7,5,9,True,41,6,7,1,1,5,6,7,7,28143247,28143277,10,2023-07-05 22:07:00,EV2-0192,True,True,False
